phylo,id,sex,condition,dot,stripe,full,subset,p_dot,termite
Uraeginthus_bengalus,CBR0005,M,deprived,67,71,1,1,0,1
Uraeginthus_bengalus,CBR0007,M,deprived,165,106,1,1,0,1
Uraeginthus_bengalus,CBR0009,M,deprived,126,66,1,1,0,1
Uraeginthus_bengalus,CBR0014,M,deprived,75,72,1,1,0,1
Uraeginthus_bengalus,CBR0031,M,deprived,142,85,1,1,0,1
Uraeginthus_bengalus,CBR0032,M,deprived,126,297,1,1,0,1
Uraeginthus_bengalus,CBR0044,M,deprived,295,135,1,1,0,1
Uraeginthus_bengalus,CBR0010,F,deprived,317,314,1,1,0,1
Uraeginthus_bengalus,CBR0011,F,deprived,256,154,1,1,0,1
Uraeginthus_bengalus,CBR0020,F,deprived,260,91,1,1,0,1
Uraeginthus_bengalus,CBR0024,F,deprived,335,199,1,1,0,1
Uraeginthus_bengalus,CBR0025,F,deprived,310,260,1,1,0,1
Chloebia_gouldiae,GF001,M,deprived,183,111,1,1,0,0
Chloebia_gouldiae,GF003,M,deprived,175,375,1,1,0,0
Chloebia_gouldiae,GF005,M,deprived,456,45,1,1,0,0
Chloebia_gouldiae,GF006,F,deprived,90,61,1,1,0,0
Chloebia_gouldiae,GF008,F,deprived,225,250,1,1,0,0
Chloebia_gouldiae,GF009,F,deprived,261,157,1,1,0,0
Chloebia_gouldiae,GF010,F,deprived,210,105,1,1,0,0
Padda_oryzivora,JS194,M,deprived,20,28,1,1,0,0
Padda_oryzivora,JS248,M,deprived,147,15,1,1,0,0
Padda_oryzivora,JS275,M,deprived,6,39,1,1,0,0
Padda_oryzivora,JS279,M,deprived,118,12,1,1,0,0
Padda_oryzivora,JS282,M,deprived,142,23,1,1,0,0
Padda_oryzivora,JS301,M,deprived,127,56,1,1,0,0
Padda_oryzivora,JS302,M,deprived,33,147,1,1,0,0
Padda_oryzivora,JS256,F,deprived,78,14,1,1,0,0
Padda_oryzivora,JS268,F,deprived,274,45,1,1,0,0
Padda_oryzivora,JS284,F,deprived,105,43,1,1,0,0
Padda_oryzivora,JS292,F,deprived,30,25,1,1,0,0
Padda_oryzivora,JS298,F,deprived,168,65,1,1,0,0
Padda_oryzivora,JS315,F,deprived,14,12,1,1,0,0
Padda_oryzivora,JS319,F,deprived,147,116,1,1,0,0
Padda_oryzivora,JS322,F,deprived,81,50,1,1,0,0
Padda_oryzivora,JS400,F,deprived,79,8,1,1,0,0
Padda_oryzivora,JS401,F,deprived,131,41,1,1,0,0
Neochmia_ruficauda,SF0001,M,deprived,410,107,1,1,1,1
Neochmia_ruficauda,SF0002,M,deprived,118,94,1,1,1,1
Neochmia_ruficauda,SF0003,M,deprived,80,139,1,1,1,1
Neochmia_ruficauda,SF0006,M,deprived,210,190,1,1,1,1
Neochmia_ruficauda,SF0009,M,deprived,260,157,1,1,1,1
Neochmia_ruficauda,SF0011,M,deprived,62,163,1,1,1,1
Neochmia_ruficauda,SF0014,M,deprived,486,689,1,1,1,1
Neochmia_ruficauda,SF0015,M,deprived,56,38,1,1,1,1
Neochmia_ruficauda,SF0016,M,deprived,71,20,1,1,1,1
Neochmia_ruficauda,SF0018,M,deprived,364,106,1,1,1,1
Neochmia_ruficauda,SF0020,M,deprived,182,185,1,1,1,1
Neochmia_ruficauda,SF0025,M,deprived,234,135,1,1,1,1
Neochmia_ruficauda,SF0026,M,deprived,213,59,1,1,1,1
Neochmia_ruficauda,SF0029,M,deprived,235,140,1,1,1,1
Neochmia_ruficauda,SF0032,M,deprived,352,248,1,1,1,1
Neochmia_ruficauda,SF0004,F,deprived,242,99,1,1,1,1
Neochmia_ruficauda,SF0010,F,deprived,46,40,1,1,1,1
Neochmia_ruficauda,SF0012,F,deprived,173,39,1,1,1,1
Neochmia_ruficauda,SF0013,F,deprived,232,65,1,1,1,1
Neochmia_ruficauda,SF0019,F,deprived,326,155,1,1,1,1
Neochmia_ruficauda,SF0021,F,deprived,257,208,1,1,1,1
Neochmia_ruficauda,SF0022,F,deprived,107,141,1,1,1,1
Neochmia_ruficauda,SF0023,F,deprived,364,323,1,1,1,1
Neochmia_ruficauda,SF0024,F,deprived,127,41,1,1,1,1
Neochmia_ruficauda,SF0027,F,deprived,243,169,1,1,1,1
Neochmia_ruficauda,SF0030,F,deprived,59,27,1,1,1,1
Lonchura_castaneothorax,CBM0004,M,deprived,271,104,1,1,0,0
Lonchura_castaneothorax,CBM0001,F,deprived,45,30,1,1,0,0
Lonchura_castaneothorax,CBM0002,F,deprived,12,4,1,1,0,0
Lonchura_castaneothorax,CBM0003,F,deprived,44,9,1,1,0,0
Neochmia_modesta,CF0020,M,deprived,135,89,1,1,1,1
Neochmia_modesta,CF0010,F,deprived,42,5,1,1,1,1
Neochmia_modesta,CF0011,F,deprived,84,32,1,1,1,1
Neochmia_modesta,CF0012,F,deprived,362,66,1,1,1,1
Neochmia_modesta,CF0013,F,deprived,52,212,1,1,1,1
Neochmia_modesta,CF0014,F,deprived,30,36,1,1,1,1
Taeniopygia_bichenovii,OF0001,M,deprived,124,192,1,1,1,1
Taeniopygia_bichenovii,OF0002,M,deprived,27,26,1,1,1,1
Taeniopygia_bichenovii,OF0003,M,deprived,210,107,1,1,1,1
Taeniopygia_bichenovii,OF0004,F,deprived,261,136,1,1,1,1
Taeniopygia_guttata,ZF525B,M,deprived,166,213,1,1,1,1
Taeniopygia_guttata,ZF525,M,deprived,301,87,1,1,1,1
Taeniopygia_guttata,ZF533,M,deprived,285,288,1,1,1,1
Taeniopygia_guttata,ZF667,M,deprived,156,94,1,1,1,1
Taeniopygia_guttata,ZF280,F,deprived,209,281,1,1,1,1
Taeniopygia_guttata,ZF429,F,deprived,455,209,1,1,1,1
Taeniopygia_guttata,ZF483,F,deprived,221,139,1,1,1,1
Taeniopygia_guttata,ZF574,F,deprived,245,182,1,1,1,1
Lonchura_cantans,ASB0002,M,deprived,64,193,1,1,0,0
Lonchura_cantans,ASB0003,M,deprived,94,125,1,1,0,0
Lonchura_cantans,ASB0004,M,deprived,82,89,1,1,0,0
Lonchura_cantans,ASB0001,F,deprived,232,26,1,1,0,0
Lonchura_cantans,ASB0005,F,deprived,414,58,1,1,0,0
Lonchura_cantans,ASB0006,F,deprived,144,125,1,1,0,0
Lonchura_atricapilla,CM0001,F,deprived,71,51,1,0,0,0
Lonchura_atricapilla,CM0002,F,deprived,51,48,1,0,0,0
Lonchura_maja,WHM0001,M,deprived,0,15,1,0,0,0
Lonchura_maja,WHM0002,M,deprived,75,31,1,0,0,0
Emblema_pictum,PFT0001,F,deprived,139,94,1,0,1,1
Uraeginthus_bengalus,CBR0005,M,supplied,42,43,1,1,0,1
Uraeginthus_bengalus,CBR0007,M,supplied,114,164,1,1,0,1
Uraeginthus_bengalus,CBR0009,M,supplied,165,15,1,1,0,1
Uraeginthus_bengalus,CBR0014,M,supplied,76,48,1,1,0,1
Uraeginthus_bengalus,CBR0031,M,supplied,86,85,1,1,0,1
Uraeginthus_bengalus,CBR0032,M,supplied,242,213,1,1,0,1
Uraeginthus_bengalus,CBR0044,M,supplied,99,83,1,1,0,1
Uraeginthus_bengalus,CBR0010,F,supplied,240,102,1,1,0,1
Uraeginthus_bengalus,CBR0011,F,supplied,143,17,1,1,0,1
Uraeginthus_bengalus,CBR0020,F,supplied,76,65,1,1,0,1
Uraeginthus_bengalus,CBR0024,F,supplied,12,17,1,1,0,1
Uraeginthus_bengalus,CBR0025,F,supplied,87,157,1,1,0,1
Chloebia_gouldiae,GF001,M,supplied,6,23,1,1,0,0
Chloebia_gouldiae,GF003,M,supplied,269,34,1,1,0,0
Chloebia_gouldiae,GF005,M,supplied,24,55,1,1,0,0
Chloebia_gouldiae,GF006,F,supplied,8,15,1,1,0,0
Chloebia_gouldiae,GF008,F,supplied,44,1,1,1,0,0
Chloebia_gouldiae,GF009,F,supplied,4,19,1,1,0,0
Chloebia_gouldiae,GF010,F,supplied,43,36,1,1,0,0
Padda_oryzivora,JS194,M,supplied,11,3,1,1,0,0
Padda_oryzivora,JS248,M,supplied,10,13,1,1,0,0
Padda_oryzivora,JS275,M,supplied,34,24,1,1,0,0
Padda_oryzivora,JS279,M,supplied,25,41,1,1,0,0
Padda_oryzivora,JS282,M,supplied,32,21,1,1,0,0
Padda_oryzivora,JS301,M,supplied,11,5,1,1,0,0
Padda_oryzivora,JS302,M,supplied,33,6,1,1,0,0
Padda_oryzivora,JS256,F,supplied,21,5,1,1,0,0
Padda_oryzivora,JS268,F,supplied,67,68,1,1,0,0
Padda_oryzivora,JS284,F,supplied,15,6,1,1,0,0
Padda_oryzivora,JS292,F,supplied,12,1,1,1,0,0
Padda_oryzivora,JS298,F,supplied,13,54,1,1,0,0
Padda_oryzivora,JS315,F,supplied,22,15,1,1,0,0
Padda_oryzivora,JS319,F,supplied,272,14,1,1,0,0
Padda_oryzivora,JS322,F,supplied,22,69,1,1,0,0
Padda_oryzivora,JS400,F,supplied,4,14,1,1,0,0
Padda_oryzivora,JS401,F,supplied,75,52,1,1,0,0
Neochmia_ruficauda,SF0001,M,supplied,104,89,1,1,1,1
Neochmia_ruficauda,SF0002,M,supplied,100,97,1,1,1,1
Neochmia_ruficauda,SF0003,M,supplied,176,32,1,1,1,1
Neochmia_ruficauda,SF0006,M,supplied,105,103,1,1,1,1
Neochmia_ruficauda,SF0009,M,supplied,240,139,1,1,1,1
Neochmia_ruficauda,SF0011,M,supplied,69,83,1,1,1,1
Neochmia_ruficauda,SF0014,M,supplied,204,47,1,1,1,1
Neochmia_ruficauda,SF0015,M,supplied,85,42,1,1,1,1
Neochmia_ruficauda,SF0016,M,supplied,124,34,1,1,1,1
Neochmia_ruficauda,SF0018,M,supplied,79,70,1,1,1,1
Neochmia_ruficauda,SF0020,M,supplied,168,25,1,1,1,1
Neochmia_ruficauda,SF0025,M,supplied,17,63,1,1,1,1
Neochmia_ruficauda,SF0026,M,supplied,92,41,1,1,1,1
Neochmia_ruficauda,SF0029,M,supplied,238,155,1,1,1,1
Neochmia_ruficauda,SF0032,M,supplied,250,220,1,1,1,1
Neochmia_ruficauda,SF0004,F,supplied,46,4,1,1,1,1
Neochmia_ruficauda,SF0010,F,supplied,4,66,1,1,1,1
Neochmia_ruficauda,SF0012,F,supplied,118,12,1,1,1,1
Neochmia_ruficauda,SF0013,F,supplied,52,19,1,1,1,1
Neochmia_ruficauda,SF0019,F,supplied,45,142,1,1,1,1
Neochmia_ruficauda,SF0021,F,supplied,151,250,1,1,1,1
Neochmia_ruficauda,SF0022,F,supplied,59,32,1,1,1,1
Neochmia_ruficauda,SF0023,F,supplied,520,399,1,1,1,1
Neochmia_ruficauda,SF0024,F,supplied,374,71,1,1,1,1
Neochmia_ruficauda,SF0027,F,supplied,56,59,1,1,1,1
Neochmia_ruficauda,SF0030,F,supplied,115,55,1,1,1,1
Lonchura_castaneothorax,CBM0004,M,supplied,48,13,1,1,0,0
Lonchura_castaneothorax,CBM0001,F,supplied,1,4,1,1,0,0
Lonchura_castaneothorax,CBM0002,F,supplied,2,4,1,1,0,0
Lonchura_castaneothorax,CBM0003,F,supplied,7,7,1,1,0,0
Neochmia_modesta,CF0020,M,supplied,39,19,1,1,1,1
Neochmia_modesta,CF0010,F,supplied,52,43,1,1,1,1
Neochmia_modesta,CF0011,F,supplied,6,90,1,1,1,1
Neochmia_modesta,CF0012,F,supplied,24,51,1,1,1,1
Neochmia_modesta,CF0013,F,supplied,9,10,1,1,1,1
Neochmia_modesta,CF0014,F,supplied,74,97,1,1,1,1
Taeniopygia_bichenovii,OF0001,M,supplied,19,9,1,1,1,1
Taeniopygia_bichenovii,OF0002,M,supplied,18,30,1,1,1,1
Taeniopygia_bichenovii,OF0003,M,supplied,110,89,1,1,1,1
Taeniopygia_bichenovii,OF0004,F,supplied,94,75,1,1,1,1
Taeniopygia_guttata,ZF525B,M,supplied,64,89,1,1,1,1
Taeniopygia_guttata,ZF525,M,supplied,60,4,1,1,1,1
Taeniopygia_guttata,ZF533,M,supplied,116,114,1,1,1,1
Taeniopygia_guttata,ZF667,M,supplied,90,99,1,1,1,1
Taeniopygia_guttata,ZF280,F,supplied,42,16,1,1,1,1
Taeniopygia_guttata,ZF429,F,supplied,233,105,1,1,1,1
Taeniopygia_guttata,ZF483,F,supplied,129,15,1,1,1,1
Taeniopygia_guttata,ZF574,F,supplied,68,104,1,1,1,1
Lonchura_cantans,ASB0002,M,supplied,75,17,1,1,0,0
Lonchura_cantans,ASB0003,M,supplied,14,2,1,1,0,0
Lonchura_cantans,ASB0004,M,supplied,8,2,1,1,0,0
Lonchura_cantans,ASB0001,F,supplied,155,202,1,1,0,0
Lonchura_cantans,ASB0005,F,supplied,16,108,1,1,0,0
Lonchura_cantans,ASB0006,F,supplied,151,51,1,1,0,0
Lonchura_atricapilla,CM0001,F,supplied,1,57,1,0,0,0
Lonchura_atricapilla,CM0002,F,supplied,40,13,1,0,0,0
Lonchura_maja,WHM0001,M,supplied,2,180,1,0,0,0
Lonchura_maja,WHM0002,M,supplied,1,21,1,0,0,0
Emblema_pictum,PFT0001,F,supplied,12,6,1,0,1,1